filename	content_locations	clean_content_loc	geocode_str	geocode_type	geocode_lat	geocode_lon	use_xml	location_sentences
Liu_et_al-2015-Insect_Conservation_and_Diversity	Xitiange	Xitiange	no-geocode-result	no-geocode-result	no-geocode-result	no-geocode-result	True	This study was conducted at Xitiange village in Northeastern Miyun County (40 210–40 250N, 116 420– 116 470E) near the northern boundary of the NCP.
Liu_et_al-2015-Insect_Conservation_and_Diversity	Northeastern Miyun County (	Northeastern Miyun County	Miyun, Beijing, China	APPROXIMATE	40.376931	116.843066	True	This study was conducted at Xitiange village in Northeastern Miyun County (40 210–40 250N, 116 420– 116 470E) near the northern boundary of the NCP.
Liu_et_al-2015-Insect_Conservation_and_Diversity	Beijing city	Beijing city	Beijing, China	APPROXIMATE	39.90419989999999	116.4073963	True	The area is situated about 70 km north of Beijing city centre.
Liu_et_al-2015-Insect_Conservation_and_Diversity	Xitiange	Xitiange	no-geocode-result	no-geocode-result	no-geocode-result	no-geocode-result	True	This study was conducted at Xitiange village in Northeastern Miyun County (40 210–40 250N, 116 420– 116 470E) near the northern boundary of the NCP.
Liu_et_al-2015-Insect_Conservation_and_Diversity	Woodland	Woodland	Woodland, WA 98674, USA	APPROXIMATE	45.9045591	-122.7439912	True	Woodland was also planted with Populus spp., but had a much greater width with an overall area exceeding 1 ha.
Russo_et_al-2013-Ecology_and_Evolution	Centre County, PA (	Centre County, PA	Centre County, PA, USA	APPROXIMATE	40.8765649	-77.8367282	False	We established floral provisioning habitat 25 m from the edge of a 6-hectare corn ﬁeld in the Russell E. Larson research farm, Centre County, PA (coordinates; 40.712019,
